"name","birth_year","email","affiliations","bio"
"Paul Kocher",1961,"paul_kocher@mail.com","ETH Zurich"," Pellentesque cursus dui nisi, id efficitur orci tristique et"
"Daniel Genkin",1992,"daniel_genkin@mail.com","The University of Edinburgh"," Proin vel lobortis eros, nec facilisis lorem"
"Daniel Gruss",1983,"daniel_gruss@mail.com","The University of Edinburgh"," Aenean nisl massa, pharetra nec auctor quis, convallis eu ligula"
"Werner Haas 0004",1968,"werner_haas_0004@mail.com","ETH Zurich"," Pellentesque et porttitor felis, nec laoreet tellus"
"Mike Hamburg",1953,"mike_hamburg@mail.com","Technical University of Munich"," Nullam quis mauris vel felis egestas fringilla pretium nec enim"
"Moritz Lipp",1984,"moritz_lipp@mail.com","University of Illinois at Chicago"," Nullam tincidunt auctor sem euismod gravida"
"Stefan Mangard",1962,"stefan_mangard@mail.com","ETH Zurich"," Etiam sed sem id ligula elementum vestibulum a nec arcu"
"Thomas Prescher 0002",1991,"thomas_prescher_0002@mail.com","The University of Edinburgh"," Proin elit mauris, maximus vel libero sed, ullamcorper volutpat purus"
"Michael Schwarz 0001",1999,"michael_schwarz_0001@mail.com","Politecnico di Torino"," Aliquam convallis ultrices sapien a suscipit"
"Yuval Yarom",1998,"yuval_yarom@mail.com","Technical University of Munich","  Fusce eget elit nec libero pellentesque dictum imperdiet eget metus"
"Frank Manola",1959,"frank_manola@mail.com","Politecnico di Milano"," Mauris viverra elementum nisi, quis placerat quam suscipit molestie"
"Michael L. Brodie",1961,"michael_l._brodie@mail.com","Technical University of Munich"," Aliquam erat volutpat"
"Michael Stonebraker",1988,"michael_stonebraker@mail.com","The University of Edinburgh"," Fusce vel blandit urna"
"Mark F. Hornick",1990,"mark_f._hornick@mail.com","University of Illinois at Chicago"," Proin auctor a metus a auctor"
"Joe D. Morrison",1999,"joe_d._morrison@mail.com","The University of Edinburgh"," Etiam ex est, interdum ornare turpis a, auctor commodo sem"
"Farshad Nayeri",1964,"farshad_nayeri@mail.com","Technical University of Munich"," Mauris at cursus nibh, et accumsan libero"
"Alejandro P. Buchmann",1991,"alejandro_p._buchmann@mail.com","Politecnico di Milano"," Etiam id nulla risus"
